season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
1968-69,Phoenix Suns,Arizona Veterans Memorial Coliseum,16,0.195,0,R. Kerr,D. Van Arsdale (5.6),#1D1160,#E56020,-8.26,
1969-70,Phoenix Suns,Arizona Veterans Memorial Coliseum,39,0.476,0.4,R. Kerr/J. Colangelo,C. Hawkins (10.2),#1D1160,#E56020,-1.66,Los Angeles Lakers (3-4)
1970-71,Phoenix Suns,Arizona Veterans Memorial Coliseum,48,0.585,0,C. Fitzsimmons,D. Van Arsdale (10.2),#1D1160,#E56020,2.33,
1971-72,Phoenix Suns,Arizona Veterans Memorial Coliseum,49,0.598,0,C. Fitzsimmons,P. Silas (11.0),#1D1160,#E56020,5.57,
1972-73,Phoenix Suns,Arizona Veterans Memorial Coliseum,38,0.463,0,B. Van Breda Kolff/J. Colangelo,D. Van Arsdale (8.7),#1D1160,#E56020,-0.96,
1973-74,Phoenix Suns,Arizona Veterans Memorial Coliseum,30,0.366,0,J. MacLeod,D. Van Arsdale (7.0),#1D1160,#E56020,-3.2,
1974-75,Phoenix Suns,Arizona Veterans Memorial Coliseum,32,0.39,0,J. MacLeod,C. Perry (7.6),#1D1160,#E56020,-2.36,
1975-76,Phoenix Suns,Arizona Veterans Memorial Coliseum,42,0.512,0.8,J. MacLeod,P. Westphal (9.6),#1D1160,#E56020,0.59,Boston Celtics (2-4)
1976-77,Phoenix Suns,Arizona Veterans Memorial Coliseum,34,0.415,0,J. MacLeod,P. Westphal (9.6),#1D1160,#E56020,0.64,
1977-78,Phoenix Suns,Arizona Veterans Memorial Coliseum,49,0.598,0.2,J. MacLeod,W. Davis (10.1),#1D1160,#E56020,3.5,Milwaukee Bucks (0-2)
1978-79,Phoenix Suns,Arizona Veterans Memorial Coliseum,50,0.61,0.6,J. MacLeod,P. Westphal (10.4),#1D1160,#E56020,3.55,Seattle SuperSonics (3-4)
1979-80,Phoenix Suns,Arizona Veterans Memorial Coliseum,55,0.671,0.4,J. MacLeod,P. Westphal (10.5),#1D1160,#E56020,3.25,Los Angeles Lakers (1-4)
1980-81,Phoenix Suns,Arizona Veterans Memorial Coliseum,57,0.695,0.4,J. MacLeod,D. Johnson (8.4),#1D1160,#E56020,4.83,Kansas City Kings (3-4)
1981-82,Phoenix Suns,Arizona Veterans Memorial Coliseum,46,0.561,0.4,J. MacLeod,K. Macy (9.2),#1D1160,#E56020,3.05,Los Angeles Lakers (0-4)
1982-83,Phoenix Suns,Arizona Veterans Memorial Coliseum,53,0.646,0.2,J. MacLeod,L. Nance (10.5),#1D1160,#E56020,4.61,Denver Nuggets (1-2)
1983-84,Phoenix Suns,Arizona Veterans Memorial Coliseum,41,0.5,0.6,J. MacLeod,L. Nance (9.8),#1D1160,#E56020,0.65,Los Angeles Lakers (2-4)
1984-85,Phoenix Suns,Arizona Veterans Memorial Coliseum,36,0.439,0.2,J. MacLeod,L. Nance (7.9),#1D1160,#E56020,-2.34,Los Angeles Lakers (0-3)
1985-86,Phoenix Suns,Arizona Veterans Memorial Coliseum,32,0.39,0,J. MacLeod,L. Nance (8.4),#1D1160,#E56020,-3.16,
1986-87,Phoenix Suns,Arizona Veterans Memorial Coliseum,36,0.439,0,J. MacLeod/D. Van Arsdale,L. Nance (10.2),#1D1160,#E56020,-2.63,
1987-88,Phoenix Suns,Arizona Veterans Memorial Coliseum,28,0.341,0,J. Wetzel,J. Hornacek (5.0),#1D1160,#E56020,-4.8,
1988-89,Phoenix Suns,Arizona Veterans Memorial Coliseum,55,0.671,0.6,C. Fitzsimmons,K. Johnson (12.2),#1D1160,#E56020,6.84,Los Angeles Lakers (0-4)
